"행정구역","2022년01월_전체세대","2022년01월_1인세대","2022년01월_2인세대","2022년01월_3인세대","2022년01월_4인세대","2022년01월_5인세대","2022년01월_6인세대","2022년01월_7인세대","2022년01월_8인세대","2022년01월_9인세대","2022년01월_10인이상세대","2022년02월_전체세대","2022년02월_1인세대","2022년02월_2인세대","2022년02월_3인세대","2022년02월_4인세대","2022년02월_5인세대","2022년02월_6인세대","2022년02월_7인세대","2022년02월_8인세대","2022년02월_9인세대","2022년02월_10인이상세대","2022년03월_전체세대","2022년03월_1인세대","2022년03월_2인세대","2022년03월_3인세대","2022년03월_4인세대","2022년03월_5인세대","2022년03월_6인세대","2022년03월_7인세대","2022년03월_8인세대","2022년03월_9인세대","2022년03월_10인이상세대","2022년04월_전체세대","2022년04월_1인세대","2022년04월_2인세대","2022년04월_3인세대","2022년04월_4인세대","2022년04월_5인세대","2022년04월_6인세대","2022년04월_7인세대","2022년04월_8인세대","2022년04월_9인세대","2022년04월_10인이상세대","2022년05월_전체세대","2022년05월_1인세대","2022년05월_2인세대","2022년05월_3인세대","2022년05월_4인세대","2022년05월_5인세대","2022년05월_6인세대","2022년05월_7인세대","2022년05월_8인세대","2022년05월_9인세대","2022년05월_10인이상세대"
"전국  (1000000000)","23,498,025","9,487,295","5,624,797","3,999,494","3,361,996","814,703","159,467","35,755","9,157","2,731","2,630","23,546,053","9,536,087","5,643,503","4,004,656","3,345,084","808,445","158,282","35,563","9,059","2,749","2,625","23,590,069","9,583,452","5,660,021","4,007,139","3,331,490","802,756","156,148","34,906","8,869","2,711","2,577","23,617,091","9,616,690","5,669,727","4,006,391","3,322,316","798,586","154,783","34,560","8,777","2,692","2,569","23,650,555","9,652,489","5,683,793","4,007,133","3,310,684","794,461","153,627","34,343","8,768","2,703","2,554"
"서울특별시  (1100000000)","4,430,541","1,912,938","979,236","750,842","614,479","135,036","28,507","6,654","1,839","581","429","4,442,586","1,926,211","981,260","751,191","611,902","134,214","28,379","6,617","1,813","581","418","4,451,444","1,936,401","983,457","751,215","609,666","133,375","28,030","6,535","1,781","575","409","4,455,106","1,942,348","984,417","750,874","607,782","132,679","27,803","6,473","1,747","572","411","4,460,604","1,949,213","986,480","750,614","605,527","131,934","27,662","6,428","1,756","582","408"
"부산광역시  (2600000000)","1,546,414","617,861","394,950","269,969","205,343","46,533","9,035","1,936","471","170","146","1,549,967","621,952","396,118","270,191","204,040","46,078","8,887","1,917","471","167","146","1,551,767","624,877","396,969","269,861","203,016","45,654","8,737","1,880","469","163","141","1,553,032","627,185","397,474","269,637","202,137","45,363","8,597","1,877","453","168","141","1,555,326","630,023","398,755","269,238","201,110","45,061","8,527","1,858","450","165","139"
"대구광역시  (2700000000)","1,064,438","403,141","263,128","194,249","160,988","35,088","6,169","1,243","282","63","87","1,065,477","404,669","263,833","194,592","159,911","34,708","6,100","1,230","284","62","88","1,068,557","408,219","264,706","194,458","159,138","34,418","5,997","1,205","268","61","87","1,069,411","409,645","265,052","194,402","158,606","34,119","5,990","1,195","258","58","86","1,070,212","410,923","265,508","194,446","157,867","33,933","5,951","1,180","256","59","89"
"인천광역시  (2800000000)","1,300,292","489,095","309,540","240,877","202,395","46,829","8,827","1,962","477","154","136","1,303,227","491,278","310,676","241,637","201,527","46,630","8,760","1,937","487","157","138","1,306,725","494,254","311,819","242,077","200,852","46,379","8,675","1,893","486","155","135","1,308,777","496,086","312,570","242,336","200,295","46,261","8,568","1,889","485","148","139","1,311,588","498,212","313,698","242,758","199,651","46,087","8,525","1,891","483","146","137"
"광주광역시  (2900000000)","646,429","257,437","150,689","109,977","96,866","26,034","4,307","799","202","50","68","647,419","258,837","151,097","110,121","96,272","25,687","4,277","812","193","54","69","648,252","259,997","151,501","110,161","95,885","25,440","4,178","779","188","57","66","648,653","260,784","151,731","110,093","95,605","25,268","4,107","756","187","57","65","649,454","261,910","151,949","110,091","95,281","25,099","4,078","736","189","59","62"
"대전광역시  (3000000000)","664,804","274,488","155,625","110,871","94,894","23,318","4,334","920","229","52","73","666,643","276,441","156,309","111,053","94,218","23,057","4,288","922","228","54","73","667,934","277,906","156,828","111,225","93,620","22,851","4,243","914","219","55","73","668,599","278,811","156,987","111,266","93,363","22,732","4,188","908","221","53","70","669,589","279,967","157,279","111,393","92,943","22,614","4,155","891","220","55","72"
"울산광역시  (3100000000)","482,917","169,249","117,531","93,443","82,215","16,935","2,798","547","133","29","37","483,490","170,105","118,046","93,494","81,611","16,734","2,760","540","133","30","37","484,122","170,902","118,661","93,525","81,044","16,544","2,713","533","132","30","38","484,641","171,657","118,969","93,409","80,711","16,460","2,713","524","132","29","37","485,349","172,447","119,453","93,419","80,315","16,296","2,697","521","136","31","34"
"세종특별자치시  (3600000000)","154,890","54,218","32,502","28,791","30,252","7,521","1,261","262","54","18","11","155,990","54,759","32,808","28,955","30,346","7,503","1,270","258","63","16","12","156,696","55,200","33,033","29,006","30,371","7,504","1,254","244","58","14","12","157,270","55,509","33,218","29,086","30,391","7,492","1,242","243","63","14","12","157,846","55,745","33,368","29,225","30,463","7,465","1,244","250","57","17","12"
"경기도  (4100000000)","5,850,373","2,152,502","1,334,107","1,082,481","990,075","231,705","44,948","10,385","2,745","825","600","5,861,240","2,161,498","1,338,575","1,084,881","986,650","230,429","44,754","10,333","2,698","837","585","5,871,380","2,170,110","1,342,818","1,086,758","983,921","229,278","44,270","10,174","2,647","822","582","5,880,097","2,178,221","1,346,183","1,087,398","981,954","228,240","43,959","10,089","2,647","821","585","5,890,145","2,187,034","1,350,111","1,088,610","979,402","227,227","43,686","10,040","2,636","819","580"
"강원도  (4200000000)","747,023","328,475","196,040","111,130","82,258","22,766","4,784","1,135","281","75","79","748,626","329,787","196,892","111,159","81,923","22,533","4,776","1,124","280","74","78","750,531","331,740","197,480","111,281","81,515","22,329","4,671","1,099","268","73","75","751,554","332,879","197,821","111,110","81,420","22,218","4,617","1,082","260","72","75","752,649","334,000","198,247","111,068","81,196","22,067","4,588","1,070","261","77","75"
"충청북도  (4300000000)","761,737","330,496","193,110","114,493","91,917","25,333","4,868","1,084","264","90","82","763,610","332,388","193,788","114,615","91,413","25,081","4,817","1,075","266","84","83","766,005","334,802","194,429","114,735","90,943","24,883","4,728","1,061","255","86","83","767,041","335,951","194,783","114,674","90,688","24,791","4,677","1,065","245","83","84","768,171","337,213","195,095","114,753","90,361","24,659","4,623","1,054","245","82","86"
"충청남도  (4400000000)","1,003,132","432,892","252,196","150,302","123,999","34,473","7,016","1,580","422","131","121","1,005,290","434,830","253,217","150,463","123,361","34,226","6,951","1,573","415","131","123","1,007,776","437,253","254,053","150,660","122,783","33,962","6,892","1,524","403","129","117","1,009,254","438,721","254,523","150,607","122,655","33,781","6,834","1,487","402","125","119","1,010,866","440,160","255,307","150,548","122,298","33,648","6,773","1,491","401","122","118"
"전라북도  (4500000000)","849,366","367,542","218,995","125,339","98,157","30,852","6,351","1,476","366","102","186","850,567","369,026","219,676","125,276","97,634","30,554","6,262","1,480","374","99","186","851,558","370,518","220,077","125,178","97,177","30,328","6,182","1,444","371","98","185","852,086","371,635","220,133","124,968","96,984","30,105","6,184","1,426","362","106","183","852,829","372,818","220,523","124,795","96,600","29,952","6,069","1,414","371","102","185"
"전라남도  (4600000000)","903,758","414,666","235,304","121,754","93,226","30,209","6,446","1,524","367","100","162","905,202","416,202","236,147","121,797","92,668","29,864","6,394","1,509","354","104","163","905,818","417,380","236,332","121,733","92,367","29,606","6,311","1,472","352","109","156","906,664","418,620","236,533","121,626","92,067","29,492","6,263","1,455","349","104","155","907,606","419,965","236,721","121,565","91,802","29,276","6,204","1,462","354","103","154"
"경상북도  (4700000000)","1,277,295","559,384","339,024","190,417","143,112","35,969","7,194","1,519","379","117","180","1,279,337","561,916","340,297","190,298","141,862","35,665","7,104","1,514","374","120","187","1,281,587","564,782","341,272","190,320","140,755","35,325","6,989","1,482","368","111","183","1,282,737","566,767","341,488","190,148","140,189","35,110","6,916","1,468","360","112","179","1,284,046","568,515","342,070","189,963","139,593","34,972","6,818","1,473","351","113","178"
"경상남도  (4800000000)","1,506,797","592,780","382,349","255,995","212,206","51,460","9,308","1,904","478","124","193","1,508,852","595,519","384,058","256,222","210,199","50,961","9,211","1,897","462","125","198","1,510,929","598,141","385,619","256,173","208,901","50,421","9,056","1,865","441","118","194","1,512,847","600,750","386,635","255,908","207,965","50,110","8,908","1,827","439","116","189","1,514,453","602,859","387,814","255,757","206,817","49,856","8,810","1,796","439","118","187"
"제주특별자치도  (5000000000)","307,819","130,131","70,471","48,564","39,614","14,642","3,314","825","168","50","40","308,530","130,669","70,706","48,711","39,547","14,521","3,292","825","164","54","41","308,988","130,970","70,967","48,773","39,536","14,459","3,222","802","163","55","41","309,322","131,121","71,210","48,849","39,504","14,365","3,217","796","167","54","39","309,822","131,485","71,415","48,890","39,458","14,315","3,217","788","163","53","38"
