CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,SCCNT_YM,FCLTY_CL_NM,FCLTY_CO,SEARCH_CO,FILE_NM,BASE_DE
서울특별시,종로구,1111000000,20230119,공공도서관,6,2689,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,종로구,1111000000,20230119,박물관,23,41022,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,종로구,1111000000,20230119,미술관,15,135923,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,중구,1114000000,20230119,문예회관,1,79526,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,중구,1114000000,20230119,공공도서관,3,6,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,중구,1114000000,20230119,박물관,11,3394,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,중구,1114000000,20230119,미술관,2,15503,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,용산구,1117000000,20230119,문예회관,1,2312,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,용산구,1117000000,20230119,공공도서관,4,22886,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,용산구,1117000000,20230119,박물관,7,429133,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,용산구,1117000000,20230119,미술관,2,694,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,성동구,1120000000,20230119,공공도서관,6,2528,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,성동구,1120000000,20230119,박물관,3,2613,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,성동구,1120000000,20230119,미술관,2,1362,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,광진구,1121500000,20230119,문예회관,1,4877,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,광진구,1121500000,20230119,공공도서관,4,26894,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,광진구,1121500000,20230119,박물관,1,67778,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,동대문구,1123000000,20230119,공공도서관,4,11096,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,동대문구,1123000000,20230119,박물관,4,358,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
서울특별시,중랑구,1126000000,20230119,공공도서관,3,899,KC_597_DGT_CLT_STATN_BIZAEA_2022,20221231
